,,,,,,,Stem,Stem,Stem,Plant Angle,,Clump,Transect,Tallest Stem,,,Flowering Intensity,,,Senesced
,,,,,,,Diameter,Diameter,Diameter,inside ,outside,Diameter mm,Count,Ligule,True leaf,Flower,<50,>50,>80,>80
,,,,,,,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date,Date
,,,,,,,51112,51112,51112,10213,10213,131112,291012,271112,271112,271112,271112,271112,271112,271112
,,,,,,,,,,,,,,,,,,,,
BLOCK,ROW,COLUMN,UID,Mx Number,Block,,StemDiam1,StemDiam2,StemDiam3,AngleInside,AngleOutside,ClumpDiam,TransectCount,TallestStemLigule,TallestStemTrueLeaf,TallestStemFlower,FloweringIntensityLessThan50,FloweringIntensityGreaterThan50,FloweringIntensityGreaterThan80,SenescedGreaterThan80
1,8,4,27833, - Mx 1553#34,1,,3.9,4.3,2.5,0,15,180,22,90,79,90,y,,,y
1,8,3,27825, - Mx 1553#19,1,,2.8,5,3.7,0,15,180,21,127,104,127,,,y,y
1,8,2,27817, - Mx 1553#108,1,,3.1,4.8,3,0,10,270,25,147,118,148,,,y,y
1,8,1,27808, - Mx 1553#27,1,,4.4,3.8,4.2,0,5,330,16,75,75,,0,,,y
1,9,1,27809, - Mx 1553#50,1,,3.7,3.2,4.3,0,10,180,13,51,51,,0,,,y
1,9,2,27818, - Mx 1553#11,1,,5.4,5.9,6.4,0,15,220,19,138,127,138,,,y,y
1,9,3,27826, - Mx 1553#100,1,,4.6,5,4.6,0,5,190,12,137,111,140,,,y,y
1,9,4,27834, - Mx 1553#35,1,,2.5,2.8,5.8,0,10,230,23,85,85,,0,,,y
1,9,5,27843, - Mx 1553#46,1,,3.9,4.1,4.8,5,20,400,11,120,111,120,,y,,y
1,9,6,27851, - Mx 1553#63,1,,5.5,4.3,6.2,0,20,400,20,145,126,145,,,y,y
1,9,7,27860, - Mx 1553#9,1,,4.5,3.3,3.1,0,20,110,7,44,44,,0,,,y
1,9,8,27869, - Mx 1553#49,1,,2.9,5.5,4.3,0,10,410,22,169,148,169,,,y,y
1,9,9,aBR 15 fS B1-R9 C9, - Goliath,1,,7,3.5,4.5,0,15,170,6,138,104,138,,,y,y
1,9,10,27886, - Mx 1553#56,1,,5.1,4.4,5.4,0,5,170,12,130,107,130,,,y,y
1,9,11,27894, - Mx 1553#87,1,,2.7,5,5.3,0,5,180,12,141,119,,y,,,y
1,9,12,27902, - Mx 1553#96,1,,4.8,3,5,0,10,210,23,129,105,129,,,y,y
2,1,1,27903, - Mx 1553#10,2,,5.6,4.3,4.1,0,20,260,21,157,135,157,y,,,y
2,1,2,27912, - Mx 1553#59,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3,27921, - Mx 1553#60,2,,2.2,3.1,3.3,0,20,180,30,116,95,116,,y,,y
2,1,4,27930, - Mx 1553#55,2,,6.4,4.1,3.9,0,5,320,22,154,127,154,,,y,y
2,1,5,27939, - Mx 1553#104,2,,4.9,4.7,4.1,0,5,330,17,153,135,153,,,y,y
2,1,6,27948, - Mx 1553#56,2,,6.2,4.8,4.1,0,10,250,10,137,108,137,,,y,y
2,1,7,27956, - Mx 1553#70,2,,3.7,4.2,4.2,0,20,280,15,152,123,154,,,y,y
2,1,8,aBR 15 fS B2-R1 C8, - Mx 1553#28,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,9,27973, - Mx 1553#68,2,,2.9,5.4,4.4,0,5,200,16,122,103,122,,,y,y
2,1,10,27981, - Mx 1553#78,2,,2.8,2.6,3.3,10,,60,3,8,8,,0,,,y
2,1,11,27990, - Mx 1553#94,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,12,27997, - Mx 1553#113,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,12,27998, - Mx 1553#86,2,,4,3.6,4.6,5,15,280,20,127,108,127,,,y,y
2,2,11,27991, - Mx 1553#115,2,,3.8,5.2,5.2,0,5,240,16,141,107,147,,,y,y
2,2,10,27982, - Mx 1553#97,2,,5.8,6.1,4.6,0,5,160,12,126,104,137,,,y,y
2,2,9,27974, - Mx 1553#119,2,,4.1,5,3.6,0,5,270,17,140,115,140,,,y,y
2,2,8,27966, - Mx 1553#40,2,,4.1,3.9,4.4,0,5,250,16,73,73,,0,,,y
2,2,7,27957, - Mx 1553#117,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,6,27949, - Mx 1553#46,2,,4.2,6.8,4.6,0,15,290,13,122,111,122,,y,,y
2,2,5,27940, - Mx 1553#96,2,,5.3,4.5,4,0,10,280,19,133,104,133,,,y,y
2,2,4,27931, - Mx 1553#110,2,,5.3,3.4,4.2,0,10,270,22,156,135,157,,,y,y
2,2,3,27922, - Mx 1553#98,2,,4.1,4.6,2.8,0,5,380,30,80,80,,0,,,y
2,2,2,27913, - Mx 1553#89,2,,6,3.1,3.7,0,10,380,27,156,122,159,,,y,y
2,2,1,27904, - Mx 1553#91,2,,4.4,6,5.1,0,5,220,12,115,100,115,y,,,y
2,3,1,27905, - Mx 1553#27,2,,4.8,5.3,5.1,0,15,220,9,60,60,,0,,,y
2,3,2,27914, - Mx 1553#4,2,,5,4.5,2.5,5,15,210,16,93,85,93,,,y,y
2,3,3,27923, - Mx 1553#25,2,,5.8,4,5,5,5,500,9,114,96,114,,y,,y
2,3,4,27932, - Mx 1553#118,2,,2.8,6.2,3,0,25,120,11,35,35,,0,,,y
2,3,5,27941, - Mx 1553#90,2,,5.3,3.5,6.3,20,35,250,11,45,45,,0,,,y
2,3,6,27950, - Mx 1553#75,2,,6.1,4.8,7.2,0,15,120,14,75,75,,y,,,y
2,3,7,27958, - Mx 1553#22,2,,3,4.6,4.2,0,10,290,25,132,110,135,,,y,y
2,3,8,27967, - Mx 1553#103,2,,6,5.3,4.3,0,5,230,13,141,124,141,,,y,y
2,3,9,27975, - Mx 1553#16,2,,4.3,3.4,4.6,0,10,160,19,121,104,133,,,y,y
2,3,10,27983, - Mx 1553#49,2,,5.3,5.8,3.8,0,25,390,18,126,108,126,,y,,y
