No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,,* Some unusual results - in that the sub samples
273,B39,28078,ABR 15 FS,  Mx 1553#77,Block 3,R5,C9,1,1007,239,160,,33.1,66.9,674.1,,,
274,B39,28087,ABR 15 FS,  Mx 1553#109,Block 3,R5,C10,1,240,144,111,,22.9,77.1,185.0,,,
275,B39,28096,ABR 15 FS,  Mx 1553#44,Block 3,R5,C11,1,217,131,89,,32.1,67.9,147.4,,,
276,B39,28105,ABR 15 FS,  Mx 1553#50,Block 3,R5,C12,1,437,165,105,,36.4,63.6,278.1,,,
277,B39,61708,ABR 15 FS,  Goliath,Block 3,R6,C12,1,112.7,95.9,66.1,,31.1,68.9,77.7,,,
278,B39,28097,ABR 15 FS,  Mx 1553#61,Block 3,R6,C11,1,225,146,112,,23.3,76.7,172.6,,,
279,B39,28088,ABR 15 FS,  Mx 1553#53,Block 3,R6,C10,1,631,151,123,,18.5,81.5,514.0,,,
280,B39,28079,ABR 15 FS,  Mx 1553#63,Block 3,R6,C9,1,600,172,125,,27.3,72.7,436.0,,,
281,B39,28070,ABR 15 FS,  Mx 1553#26,Block 3,R6,C8,1,5,5,4,,20.0,80.0,4.0,,,
282,B39,28061,ABR 15 FS,  Mx 1553#74,Block 3,R6,C7,1,171,113,87,,23.0,77.0,131.7,,,
283,B39,28053,ABR 15 FS,  Mx 1553#18,Block 3,R6,C6,1,339,142,100,,29.6,70.4,238.7,,,
284,B39,28045,ABR 15 FS,  Mx 1553#49,Block 3,R6,C5,1,321,160,114,,28.8,71.3,228.7,,,
285,B39,28036,ABR 15 FS,  Mx 1553#15,Block 3,R6,C4,1,295,111,82,,26.1,73.9,217.9,,,
286,B39,28028,ABR 15 FS,  Mx 1553#114,Block 3,R6,C3,1,48,48,30,,37.5,62.5,30.0,,,
287,B39,28019,ABR 15 FS,  Mx 1553#10,Block 3,R6,C2,1,383,158,129,,18.4,81.6,312.7,,,
288,B39,28011,ABR 15 FS,  Mx 1553#120,Block 3,R6,C1,1,294,166,107,,35.5,64.5,189.5,,,
289,B39,28012,ABR 15 FS,  Mx 1553#102,Block 3,R7,C1,1,164,104,84,,19.2,80.8,132.5,,,
290,B39,28020,ABR 15 FS,  Mx 1553#11,Block 3,R7,C2,1,411,119,99,,16.8,83.2,341.9,,,
291,B39,28029,ABR 15 FS,  Mx 1553#105,Block 3,R7,C3,1,253,124,95,,23.4,76.6,193.8,,,
292,B39,28037,ABR 15 FS,  Mx 1553#112,Block 3,R7,C4,1,13,13,9,,30.8,69.2,9.0,,,
293,B39,28046,ABR 15 FS,  Mx 1553#69,Block 3,R7,C5,1,676,140,108,,22.9,77.1,521.5,,,
294,B39,28054,ABR 15 FS,  Mx 1553#12,Block 3,R7,C6,1,503,158,114,,27.8,72.2,362.9,,,
295,B39,28062,ABR 15 FS,  Mx 1553#76,Block 3,R7,C7,1,118,107,71,,33.6,66.4,78.3,,,
296,B39,28071,ABR 15 FS,  Mx 1553#11,Block 3,R7,C8,1,434,148,121,,18.2,81.8,354.8,,,
297,B39,28080,ABR 15 FS,  Mx 1553#36,Block 3,R7,C9,1,694,126,98,,22.2,77.8,539.8,,,
298,B39,28089,ABR 15 FS,  Mx 1553#104,Block 3,R7,C10,1,172,135,104,,23.0,77.0,132.5,,,
299,B39,28098,ABR 15 FS,  Mx 1553#27,Block 3,R7,C11,1,80,68,49,,27.9,72.1,57.6,,,
300,B39,28106,ABR 15 FS,  Mx 1553#89,Block 3,R7,C12,1,402,144,117,,18.8,81.3,326.6,,,
301,B39,28107,ABR 15 FS,  Mx 1553#19,Block 3,R8,C12,1,180,129,95,,26.4,73.6,132.6,,,
302,B39,28099,ABR 15 FS,  Mx 1553#88,Block 3,R8,C11,1,278,132,101,,23.5,76.5,212.7,,,
303,B39,28090,ABR 15 FS,  Mx 1553#66,Block 3,R8,C10,1,32,32,18,,43.8,56.3,18.0,,,
304,B39,28081,ABR 15 FS,  Mx 1553#40,Block 3,R8,C9,1,258,193,118,,38.9,61.1,157.7,,,
305,B39,28072,ABR 15 FS,  Mx 1553#84,Block 3,R8,C8,1,150,124,89,,28.2,71.8,107.7,,,
306,B39,28063,ABR 15 FS,  Mx 1553#20,Block 3,R8,C7,1,103,98,63,,35.7,64.3,66.2,,,
307,B39,28055,ABR 15 FS,  Mx 1553#118,Block 3,R8,C6,1,86,71,46,,35.2,64.8,55.7,,,
308,B39,28047,ABR 15 FS,  Mx 1553#17,Block 3,R8,C5,1,167,128,89,,30.5,69.5,116.1,,,
309,B39,28038,ABR 15 FS,  Mx 1553#71,Block 3,R8,C4,1,527,135,98,,27.4,72.6,382.6,,,
310,B39,28030,ABR 15 FS,  Mx 1553#97,Block 3,R8,C3,0,0,0,0,,,,,,,
311,B39,28021,ABR 15 FS,  Mx 1553#4,Block 3,R8,C2,1,360,148,116,,21.6,78.4,282.2,,,
312,B39,28013,ABR 15 FS,  Mx 1553#72,Block 3,R8,C1,1,907,131,106,,19.1,80.9,733.9,,,
313,B39,28014,ABR 15 FS,  Mx 1553#6,Block 3,R9,C1,1,316,122,90,,26.2,73.8,233.1,,,
314,B39,28022,ABR 15 FS,  Mx 1553#100,Block 3,R9,C2,1,109,84,68,,19.0,81.0,88.2,,,
315,B39,28031,ABR 15 FS,  Mx 1553#99,Block 3,R9,C3,1,157,108,81,,25.0,75.0,117.8,,,
316,B39,28039,ABR 15 FS,  Mx 1553#60,Block 3,R9,C4,1,440,170,123,,27.6,72.4,318.4,,,
317,B39,28048,ABR 15 FS,  Mx 1553#95,Block 3,R9,C5,1,805,157,123,,21.7,78.3,630.7,,,
318,B39,B24,ABR 15 FS,DISCARD PLANT,Block 3,R9,C6,0,ABR 15 FS B3-R9 C6,,,,,,,,,
319,B39,28064,ABR 15 FS,  Mx 1553#39,Block 3,R9,C7,1,812,156,112,,28.2,71.8,583.0,,,
320,B39,28073,ABR 15 FS,  Mx 1553#67,Block 3,R9,C8,1,205,120,96,,20.0,80.0,164.0,,,
321,B39,28082,ABR 15 FS,  Mx 1553#42,Block 3,R9,C9,1,80,63,49,,22.2,77.8,62.2,,,
322,B39,28091,ABR 15 FS,  Mx 1553#35,Block 3,R9,C10,1,264,116,77,,33.6,66.4,175.2,,,
323,B39,28100,ABR 15 FS,  Mx 1553#8,Block 3,R9,C11,1,655,131,97,,26.0,74.0,485.0,,,
324,B39,28108,ABR 15 FS,  Mx 1553#82,Block 3,R9,C12,1,1060,164,128,,22.0,78.0,827.3,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
