No.,Batch,UID,Trial,Mx#,Rep,Row,Col,Live,FW wt,FS wt,DS wt,,MC%,DW%,Whole DW,,
289,B24,28012,ABR 15 FS,  Mx 1553#102,Block 3,R7,C1,1,36,35,29,,17.1,82.9,29.8,,1
290,B24,28020,ABR 15 FS,  Mx 1553#11,Block 3,R7,C2,1,68,67,55,,17.9,82.1,55.8,,1
291,B24,28029,ABR 15 FS,  Mx 1553#105,Block 3,R7,C3,1,26,25,21,,16,84,21.8,,1
292,B24,28037,ABR 15 FS,  Mx 1553#112,Block 3,R7,C4,1,3,3,2,,33.3,66.7,2,,0
293,B24,28046,ABR 15 FS,  Mx 1553#69,Block 3,R7,C5,1,120,106,80,,24.5,75.5,90.6,,14
294,B24,28054,ABR 15 FS,  Mx 1553#12,Block 3,R7,C6,1,109,93,74,,20.4,79.6,86.7,,16
295,B24,28062,ABR 15 FS,  Mx 1553#76,Block 3,R7,C7,1,26,26,20,,23.1,76.9,20,,0
296,B24,28071,ABR 15 FS,  Mx 1553#11,Block 3,R7,C8,1,62,60,50,,16.7,83.3,51.7,,2
297,B24,28080,ABR 15 FS,  Mx 1553#36,Block 3,R7,C9,1,150,128,94,,26.6,73.4,110.2,,22
298,B24,28089,ABR 15 FS,  Mx 1553#104,Block 3,R7,C10,1,14,13,11,,15.4,84.6,11.8,,1
299,B24,28098,ABR 15 FS,  Mx 1553#27,Block 3,R7,C11,1,14,13,10,,23.1,76.9,10.8,,1
300,B24,28106,ABR 15 FS,  Mx 1553#89,Block 3,R7,C12,1,46,44,34,,22.7,77.3,35.5,,2
301,B24,28107,ABR 15 FS,  Mx 1553#19,Block 3,R8,C12,1,22,20,16,,20,80,17.6,,2
302,B24,28099,ABR 15 FS,  Mx 1553#88,Block 3,R8,C11,1,38,36,26,,27.8,72.2,27.4,,2
303,B24,28090,ABR 15 FS,  Mx 1553#66,Block 3,R8,C10,1,7,7,5,,28.6,71.4,5,,0
304,B24,28081,ABR 15 FS,  Mx 1553#40,Block 3,R8,C9,1,56,52,38,,26.9,73.1,40.9,,4
305,B24,28072,ABR 15 FS,  Mx 1553#84,Block 3,R8,C8,1,31,29,21,,27.6,72.4,22.4,,2
306,B24,28063,ABR 15 FS,  Mx 1553#20,Block 3,R8,C7,1,13,13,10,,23.1,76.9,10,,0
307,B24,28055,ABR 15 FS,  Mx 1553#118,Block 3,R8,C6,1,9,8,6,,25,75,6.8,,1
308,B24,28047,ABR 15 FS,  Mx 1553#17,Block 3,R8,C5,1,18,17,12,,29.4,70.6,12.7,,1
309,B24,28038,ABR 15 FS,  Mx 1553#71,Block 3,R8,C4,1,83,74,56,,24.3,75.7,62.8,,9
310,B24,28030,ABR 15 FS,  Mx 1553#97,Block 3,R8,C3,0,0,0,0,,,,,,0
311,B24,28021,ABR 15 FS,  Mx 1553#4,Block 3,R8,C2,1,100,89,65,,27,73,73,,11
312,B24,28013,ABR 15 FS,  Mx 1553#72,Block 3,R8,C1,1,157,139,97,,30.2,69.8,109.6,,18
313,B24,28014,ABR 15 FS,  Mx 1553#6,Block 3,R9,C1,1,60,59,45,,23.7,76.3,45.8,,1
314,B24,28022,ABR 15 FS,  Mx 1553#100,Block 3,R9,C2,1,16,16,13,,18.8,81.3,13,,0
315,B24,28031,ABR 15 FS,  Mx 1553#99,Block 3,R9,C3,1,30,29,21,,27.6,72.4,21.7,,1
316,B24,28039,ABR 15 FS,  Mx 1553#60,Block 3,R9,C4,1,75,73,55,,24.7,75.3,56.5,,2
317,B24,28048,ABR 15 FS,  Mx 1553#95,Block 3,R9,C5,1,126,110,91,,17.3,82.7,104.2,,16
318,B24,ABR 15 FS B3-R9 C6,ABR 15 FS,DISCARD PLANT,Block 3,R9,C6,0,0,0,0,,,,,,0
319,B24,28064,ABR 15 FS,  Mx 1553#39,Block 3,R9,C7,1,151,124,93,,25,75,113.3,,27
320,B24,28073,ABR 15 FS,  Mx 1553#67,Block 3,R9,C8,1,51,50,33,,34,66,33.7,,1
321,B24,28082,ABR 15 FS,  Mx 1553#42,Block 3,R9,C9,1,31,30,22,,26.7,73.3,22.7,,1
322,B24,28091,ABR 15 FS,  Mx 1553#35,Block 3,R9,C10,1,21,20,16,,20,80,16.8,,1
323,B24,28100,ABR 15 FS,  Mx 1553#8,Block 3,R9,C11,1,220,142,113,,20.4,79.6,175.1,,78
324,B24,28108,ABR 15 FS,  Mx 1553#82,Block 3,R9,C12,1,229,189,145,,23.3,76.7,175.7,,40
